source_wallet,txn_count,No_Days_Active,initial_balance,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0x7cf4d009b905264264c07af09eaa3d0e54e7cde3,20,6,0.15975204,0xeaa2dfb69a3eba0c99e7d93886c618a8d5e618a0,0.0010746850302029,2022-12-02,2023-01-21
0xa399a2476e664abe42610dbb93c5dd88b6bffede,17,15,0.00362863,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.001899344131822,2021-12-08,2023-01-11
0x8e9cc3a5a10f1af018227f24b767b660bdd34411,27,21,0.06,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,0.0192026950587558,2022-06-20,2023-01-23
0x3b729d47675f6aae390fdf371dba1d1eb98bb186,2,1,0.014345,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.0125827275210612,2022-12-13,2022-12-13
0x2fc922ac70e2fbb59d69f0a8b872075b99a09343,54,12,0.9388,0x82e0b8cdd80af5930c4452c684e71c861148ec8a,0.7383765565045821,2022-11-20,2023-01-23
0x5f4148dffca80f4c66c65d2a3c0d3342f20a313b,129,61,0.015,0xa74ae2c6fca0cedbaef30a8ceef834b247186bcf,0.246148886624803,2021-12-26,2023-01-13
0x86338bb91bf39a95fc1a23834941dafd53b8cd06,121,36,0.0,0x054a100d5e892cbc295caa6ea4add278e663d820,0.2084581232013085,2021-03-26,2023-01-23
0x2d71a67d4ee87b23fdc952ccaeb698d3255ec319,25,16,0.1985,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,0.0092214368328827,2022-05-06,2023-01-07
0x0449e53aa1a3f75133df621d0ee755d5381a934e,253,24,0.0,0x49e401841d0b4f5884131d634c1d17a1f7371e41,0.1074312440557782,2022-09-18,2023-01-19
0x13ef1086cdfecc00e0f8f3b2ac2c600f297dc333,35,21,0.0288,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0.0058145639514567,2022-06-25,2023-01-21
0xc7a014d9526115d7fea8ef7d2912acc8ea6e49d0,13,6,0.01021101,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,0.0001092324472804,2022-11-29,2022-12-22
0xaa2db9fea60bb48a74a4f417bc627016667e6a85,84,30,0.01072659,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.000121933,2022-06-04,2022-12-18
0x8b5d712130a70d25bce5a49f9cef0000f6e12ad9,62,21,1.0,0x084b1c3c81545d370f3634392de611caabff8148,0.00943885354693,2021-09-10,2023-01-19
0x95c46b5096b753ee825af5bf33f3d334447a8fa7,32,17,0.02166062,0x8cc6517e45db7a0803fef220d9b577326a12033f,0.0125866950301567,2022-05-07,2023-01-01
0x32c05777dd057fe7037a38809066626955e13c6a,27,15,0.044332,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0.0211855187375757,2022-11-21,2023-01-21
0x67a808d1ef8529a60cca317a31dc83896a9667b8,33,18,0.0320823812,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.0102247715228592,2019-06-17,2022-12-18
0xceee5b2f896ac8b0c6b97ff48a3f0a2d364d9950,35,12,0.047,0x932261f9fc8da46c4a22e31b45c4de60623848bf,0.0019338950380711,2022-07-02,2023-01-17
0xddcd7685641ca45f29305f2d9f5708348cf75afd,80,33,3.0,0x0e3efd5be54cc0f4c64e0d186b0af4b7f2a0e95f,0.0779875329535079,2021-07-05,2023-01-22
0xfcf1067e39dc0deb241079d290d8d0fc972c0aff,189,15,0.0,0x0e3efd5be54cc0f4c64e0d186b0af4b7f2a0e95f,0.0074838694845732,2022-12-14,2023-01-15
0x1295299129c66c981ee685ee36ff030e7ac4ec87,66,26,0.0275708,0x4488254a8b4a4d70a33f8821dad0dce8cbd5df58,0.0001462393648366,2022-06-23,2023-01-12
0xca1e6cce755f9b276ebcf60532e91b1d6804486d,242,37,0.0398,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0.1529819745095814,2022-07-07,2023-01-22
0x243b9fd28906812d3403c5549a9a0446b62aa1ac,38,19,0.01629884,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0033077845749093,2021-11-11,2023-01-20
0xa93844b3edd1380ecd79d6ee60dd708969ef83c5,56,20,3.0655264,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,0.0403363488480797,2021-10-25,2023-01-22
0x0c92944ff899b113afcae45a620f8857d4e574d6,52,25,0.0260911,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0.061149049468525,2022-06-25,2023-01-22
0xa613eaac132f8142a4437136d195e11efe81742f,39,10,0.0929,0xc1966892ab8a0d49731ad093c14d9638712fe90d,0.0001394571925615,2022-07-12,2022-12-20
0x6858a4d8d7d0297c138b403b6a34cb3b424b7f4a,650,49,0.4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0446190063034662,2021-11-15,2023-01-04
0x634bcefa9d61f6455a7d9562e14928c9b6c38eab,48,21,0.0105,0xcbc8941315d006ec8e71f8296d773bc89d0f0f2d,0.1504753971534764,2022-07-13,2023-01-19
0xf214eea308a99a6c95c523e0967f82deeb071a5d,21,16,0.11094,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.1335842721350763,2022-05-18,2022-12-20
0x1289361cfaa06d4ea369cb2b3f0a80ac6ee77859,465,31,0.0,0x0000000000a39bb272e79075ade125fd351887ac,0.0121871502283346,2022-09-10,2023-01-21
0x2a61d4fd7fde33ca05dbd8257b381000586cfa5e,148,61,0.0,0xd9d74a29307cc6fc8bf424ee4217f1a587fbc8dc,0.0055186757503974,2020-11-26,2023-01-09
0xbb0672345ed9c7a25f9fee5be7c6020810c86d67,29,13,0.00778725,0xe6c21a3157565fc06f62c04723992b7fff71eb36,1.3098658151e-08,2022-07-27,2022-12-21
0x8b9a3787dfa6d221990967c7aee4c6f7237649a4,180,70,0.15,0x00000000006c3852cbef3e08e8df289169ede581,0.3195866601490606,2021-10-08,2023-01-20
0xe6e365b1a0422d46377e9c3a9d28eb6fe7427dad,256,53,0.0085428571428571,0xabea9132b05a70803a4e85094fd0e1800777fbef,0.1701844274209948,2022-06-11,2023-01-22
0xae0d56da41765c64d29a3dac984ed1d98964de9c,168,30,0.15664497,0x1ffb31fa1f2d5ee2eb3e7b56468ccf53a2b72838,0.000293416565652,2021-11-15,2023-01-23
0x7f8d672f7758f305e07a45a45be21509f412434c,90,35,0.1,0x777777773fdd8b28bb03377d10fcea75ad9768da,0.0108511707779852,2022-06-10,2023-01-20
0x3c00a3fa2eef1afccf044af59ce105b8200272cd,123,43,0.0764,0xce5513474e077f5336cf1b33c1347fdd8d48ae8c,0.0089455891382289,2021-06-25,2023-01-13
0x7f956eff16a305017412fe5f6df6ffbbd7c0f21f,22,6,0.12,0xd4b80c3d7240325d18e645b49e6535a3bf95cc58,0.3541104861753404,2022-08-09,2023-01-03
0xbf893782ac8681f9fcbcd45c29f0b8e7f5cc2130,168,36,0.0,0x9c1100a321ab778ce5d3b42c7b99f44afc3a4c41,0.0347412727354005,2022-09-02,2023-01-19
0x6d1afe57141eaf3e99d0a49e6563409baff240d0,344,57,0.007,0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,0.0023582660738585,2021-06-15,2023-01-05
0xea2ddf657770e77ae5b288b2a23a555b171a55bf,42,16,0.2495,0x00000000006c3852cbef3e08e8df289169ede581,0.0074980048556486,2022-06-27,2023-01-03
0x5a28fbaf5404fd2d2686e146cbc7e8f26021d960,62,26,0.10828212,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.0026992703499579,2021-10-14,2023-01-15
0x9538b66cce99b665264e2b955f9f401de50d448c,14,11,0.5,0xabea9132b05a70803a4e85094fd0e1800777fbef,0.1855422383430587,2022-11-13,2023-01-23
0xb23881620cd74606d888e886f4f10f886cf36298,80,23,0.106,0x2a5c2568b10a0e826bfa892cf21ba7218310180b,0.1281254246600031,2022-06-27,2023-01-20
0xed6b8c241b48b0d0cd12a136df2e237202ba6870,2,1,0.090232,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.0011346028514851,2022-12-18,2022-12-18
0x7adeab1ba868587e7dc2dd13ca5b96324d2e7f90,256,16,0.0,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,0.0006211033271284,2022-12-01,2023-01-22
0xfb897a87c149a86366c64aff5293e3866261bbdd,35,8,6.462996115739e-06,0x373b32f1e754515f8efb642dffd02ba325df7c5f,0.0049740287625933,2022-10-28,2023-01-22
0x0d2273e50138cee6db591bd8c2ad0dc95c111adc,15,10,0.12,contract_creation,0.0166810747716752,2022-10-27,2022-12-28
0x3042440567eb566926d1461e474a8d2db7a3d67d,7,3,0.1363856,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.0029366531543651,2022-10-29,2022-12-20
0x53282b2115231e0011cb1d68b54686ce7ee795ed,131,49,0.0,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,0.0395707228849222,2022-05-19,2023-01-16
0xb7a05dc59c1761457be714f95e441e85c5d158d8,81,22,0.09,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0036794761616518,2022-10-23,2023-01-19
0x113b3f67c6ea4e22f82a39a06bfe85d4815ff557,44,25,0.003,0xabea9132b05a70803a4e85094fd0e1800777fbef,0.0858977150285287,2021-08-19,2023-01-21
0x592d92f02e1b7bc255b7c9a7bb03e7a21824289c,18,8,0.13305732,0x80c67432656d59144ceff962e8faf8926599bcf8,0.0089608479595891,2022-11-15,2022-12-25
0xc16d689e0c0a6d5a0eae8d2f6a54fe3f6d118a30,32,10,0.0786197,0x3ddea6e310bf0a6a161a1f7f87bbc7c216a4ecb9,0.0126463365008478,2022-06-06,2023-01-14
0x45e1050507038a3773e3b4d4697330e58238bf86,85,30,0.08,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0.005536126632172,2022-09-12,2023-01-20
0x9eff5b715d0e2c0ecdacb029c742dd516a751213,276,37,0.018,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,0.0154404262842383,2022-09-04,2023-01-20
0x1465a11ccb4bbaf5f94608607defa78ced27c9e6,68,20,0.0552576008500941,0x49642110b712c1fd7261bc074105e9e44676c68f,0.0037068528481654,2021-05-17,2023-01-16
0x0cc0fdfa2a9edfc89087e405a4d4b6120ea686fb,122,43,0.0,0x881d40237659c251811cec9c364ef91dc08d300c,0.0565208396334371,2021-11-17,2023-01-21
0x870b78c98b953b293d66e99309442b5976fcb49c,28,14,0.1198054809379075,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0.0037396603442245,2021-08-22,2023-01-22
0xbc27ffef35cd7f8cf99640ac8398966f03df1d2f,32,18,0.2565,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0.0005625756707492,2022-04-26,2022-12-20
